name,source,gender,wikidata,type
"Lydia Koidula",wikidata,F,Q237056,way
"Ado Vabbe",wikidata,M,Q4102078,way
"Aleksander Elleri",wikidata,M,Q5789369,way
"Aleksander Vardi",wikidata,M,Q12358760,way
"Alfred Kongo",wikidata,M,Q2645315,way
"Anton Starkopfi",wikidata,M,Q594442,way
"Arkadi Laigo",wikidata,M,Q12359548,way
"August Kitzbergi",wikidata,M,Q376410,way
"Bengt Gottfried Forseliuse",wikidata,M,Q817220,way
"Carl Robert Jakobsoni tänav",wikidata,M,Q725191,relation
"Eduard Wiiralti tänav",wikidata,M,Q1290386,relation
"Elmar Kitse",wikidata,M,Q4222495,way
"Endel Kõksi",wikidata,M,Q12362079,way
"Friedebert Tuglase tänav",wikidata,M,Q540155,relation
"Friedrich Reinhold Kreutzwaldi tänav",wikidata,M,Q333900,relation
"Hando Mugasto",wikidata,M,Q12363308,way
"Jaan Koorti",wikidata,M,Q3742903,way
"Jaan Tõnissoni",wikidata,M,Q710956,way
"Jakob Hurda tänav",wikidata,M,Q1395650,relation
"Johann Voldemar Jannseni",wikidata,M,Q362138,way
"Johann Wilhelm Friedrich Hezeli",wikidata,M,Q16405824,way
"Juhan Liivi tänav",wikidata,M,Q737503,relation
"Julius Kuperjanovi tänav",wikidata,M,Q937948,relation
"Kaarel Liimandi",wikidata,M,Q16407617,way
"Karl August Hermanni",wikidata,M,Q721139,way
"Karl Ernst von Baeri tänav",wikidata,M,Q57190,relation
"Kuno Veeberi",wikidata,M,Q17446930,way
"Lev Tolstoi tänav",wikidata,M,Q7243,relation
"Ludvig Puusepa tänav",wikidata,M,Q632591,relation
"Nikolai Lunini tänav",wikidata,M,Q1992280,relation
"Nikolai Triigi tänav",wikidata,M,Q352190,relation
"Peet Areni",wikidata,M,Q12372166,way
"Villem Ormissoni tänav",wikidata,M,Q16407957,relation
"Voldemar Melliku",wikidata,M,Q16403465,way
"Wilhelm Ostwaldi",wikidata,M,Q12658,way
"Wilhelm Struve tänav",wikidata,M,Q57164,relation
