name,source,gender,wikidata,type
"Kaunase puiestee",wikidata,,Q4115712,relation
Kuradisild,wikidata,,Q6674;Q15193,way
"A. H. Tammsaare tänav",,,,relation
Aardla,,,,way
"Aardla tänav",,,,relation
Aardlavälja,,,,way
Aasa,,,,way
Ääsi,,,,way
Adra,,,,way
Aeru,,,,way
"Aiaääre tänav",,,,relation
Aianduse,,,,way
"Aida tänav",,,,relation
"Akadeemia tänav",,,,relation
"Akvarelli tänav",,,,relation
"Alasi tänav",,,,relation
Aleksandri,,,,way
"Aleksandri tänav",,,,relation
Alevi,,,,way
Allika,,,,way
Aniisi,,,,way
"Anna Haava",,,,way
"Anne tänav",,,,relation
Annemõisa,,,,way
Arbi,,,,way
Arhitekti,,,,way
Aroonia,,,,way
Aru,,,,way
"Aruheina tee",,,,way
Arukase,,,,way
"Aruküla tee",,,,relation+way
Astelpaju,,,,way
Astri,,,,way
Bajadeeri,,,,way
"Betooni tänav",,,,relation
Bordoo,,,,way
"Eha tänav",,,,relation
Ehitaja,,,,way
Elulõnga,,,,way
Elva,,,,way
"Emajõe tänav",,,,relation
"Era tänav",,,,relation
"Filosoofi tänav",,,,relation
Fortuuna,,,,way
"Fortuuna tänav",,,,relation
"Gildi tänav",,,,relation
Haki,,,,way
Haraka,,,,way
Hauskari,,,,way
Heina,,,,way
Heki,,,,way
"Herne tänav",,,,relation
"Hiie tänav",,,,relation
Hipodroomi,,,,relation
"Hobuseraua tänav",,,,relation
Hommiku,,,,way
Ida,,,,way
Idaringtee,,,,relation
Ignatsi,,,,way
"Ihaste põik",,,,way
"Ihaste tee",,,,relation+way
Iirise,,,,way
Ilmatari,,,,way
Ilmatsalu,,,,way
"Ilmatsalu tänav",,,,relation
Inglisild,,,,way
Inseneri,,,,way
"Jaama tänav",,,,relation
"Jaamamõisa tänav",,,,relation
"Jaani tänav",,,,relation
"Jakob Hurda",,,,way
"Jakobi tänav",,,,relation
Jalaka,,,,way
"Jalaka tänav",,,,relation
Jalakakuru,,,,way
"Jalakakuru põik",,,,way
"Jänese matkarada",,,,way
"Jänese tänav",,,,relation
Jõe,,,,way
Juure,,,,way
Kaare,,,,way
Kabeli,,,,way
Käbi,,,,way
Kadaka,,,,way
"Kalda tee",,,,relation
"Kalevi tänav",,,,relation
"Kalmistu tänav",,,,relation
"Kaluri tänav",,,,relation
Kanarbiku,,,,way
Kanepi,,,,way
Kannikese,,,,way
Käo,,,,way
"Käo põik",,,,way
"Kapsa tänav",,,,relation
Kapteni,,,,way
Karikakra,,,,way
Karmiini,,,,way
"Kartuli tänav",,,,relation
Kasarmu,,,,way
Kase,,,,way
"Kasesalu tänav",,,,relation
"Kasesalu tee",,,,way
"Kastani tänav",,,,relation
Kasteheina,,,,way
Katla,,,,way
"Kauna tänav",,,,relation
"Kaunase pst",,,,way
Kaupmehe,,,,way
Kesa,,,,way
"Kesa põik",,,,way
Kesakanni,,,,way
"Kesk kaar",,,,relation
"Kesk tänav",,,,relation
Kibuvitsa,,,,way
Kiigemäe,,,,way
Kiire,,,,way
Killustiku,,,,way
"Killustiku põik",,,,way
Kingu,,,,way
Kirde,,,,way
Kirsi,,,,way
"Kitsas tänav",,,,relation
"Kivi tänav",,,,relation
Kivimi,,,,way
Klaasi,,,,way
Klaose,,,,way
